Place,Direction,Value
Adelaide,E,0.0253979
Adelaide,ENE,0.030308161
Adelaide,ESE,0.027429732
Adelaide,N,0.08940061
Adelaide,NE,0.072807315
Adelaide,NNE,0.082627836
Adelaide,NNW,0.053335591
Adelaide,NW,0.054182188
Adelaide,S,0.050457162
Adelaide,SE,0.03318659
Adelaide,SSE,0.044023027
Adelaide,SSW,0.055198104
Adelaide,SW,0.131391805
Adelaide,W,0.062140196
Adelaide,WNW,0.056383339
Adelaide,WSW,0.131730444
Albany,E,0.08504282
Albany,ENE,0.033260307
Albany,ESE,0.08504282
Albany,N,0.06233818
Albany,NE,0.030472018
Albany,NNE,0.034455288
Albany,NNW,0.068512249
Albany,NW,0.080661223
Albany,S,0.060744872
Albany,SE,0.075482972
Albany,SSE,0.035849432
Albany,SSW,0.064130651
Albany,SW,0.090021908
Albany,W,0.062139016
Albany,WNW,0.032662816
Albany,WSW,0.09918343
Albury,E,0.062236866
Albury,ENE,0.048508146
Albury,ESE,0.070657148
Albury,N,0.042833608
Albury,NE,0.049789493
Albury,NNE,0.037891269
Albury,NNW,0.042284459
Albury,NW,0.05125389
Albury,S,0.060955519
Albury,SE,0.123558484
Albury,SSE,0.105253524
Albury,SSW,0.021599854
Albury,SW,0.025993044
Albury,W,0.110561962
Albury,WNW,0.086582464
Albury,WSW,0.060040271
AliceSprings,E,0.136753603
AliceSprings,ENE,0.066918325
AliceSprings,ESE,0.184969115
AliceSprings,N,0.047357584
AliceSprings,NE,0.041180508
AliceSprings,NNE,0.030885381
AliceSprings,NNW,0.040150995
AliceSprings,NW,0.033115992
AliceSprings,S,0.053877831
AliceSprings,SE,0.140871654
AliceSprings,SSE,0.083905285
AliceSprings,SSW,0.034145504
AliceSprings,SW,0.029341112
AliceSprings,W,0.026595745
AliceSprings,WNW,0.027110501
AliceSprings,WSW,0.022820865
BadgerysCreek,E,0.05776708
BadgerysCreek,ENE,0.054619515
BadgerysCreek,ESE,0.054249213
BadgerysCreek,N,0.094241807
BadgerysCreek,NE,0.057211627
BadgerysCreek,NNE,0.096463618
BadgerysCreek,NNW,0.033142011
BadgerysCreek,NW,0.031845954
BadgerysCreek,S,0.050916497
BadgerysCreek,SE,0.051286799
BadgerysCreek,SSE,0.039437141
BadgerysCreek,SSW,0.065173116
BadgerysCreek,SW,0.140344381
BadgerysCreek,W,0.047768932
BadgerysCreek,WNW,0.03721533
BadgerysCreek,WSW,0.088316978
Ballarat,E,0.008404774
Ballarat,ENE,0.00890906
Ballarat,ESE,0.031770045
Ballarat,N,0.187762649
Ballarat,NE,0.017145739
Ballarat,NNE,0.106740629
Ballarat,NNW,0.06135485
Ballarat,NW,0.035972432
Ballarat,S,0.091612036
Ballarat,SE,0.077492015
Ballarat,SSE,0.067070096
Ballarat,SSW,0.071104387
Ballarat,SW,0.066061523
Ballarat,W,0.063035804
Ballarat,WNW,0.033619096
Ballarat,WSW,0.071944865
Bendigo,E,0.036313332
Bendigo,ENE,0.044440602
Bendigo,ESE,0.044267681
Bendigo,N,0.071934982
Bendigo,NE,0.05481584
Bendigo,NNE,0.047726094
Bendigo,NNW,0.05222203
Bendigo,NW,0.056545046
Bendigo,S,0.067611966
Bendigo,SE,0.081964378
Bendigo,SSE,0.128307107
Bendigo,SSW,0.054469998
Bendigo,SW,0.079197648
Bendigo,W,0.05775549
Bendigo,WNW,0.063461871
Bendigo,WSW,0.058965935
Brisbane,E,0.091069708
Brisbane,ENE,0.106810151
Brisbane,ESE,0.084323803
Brisbane,N,0.021683264
Brisbane,NE,0.100706714
Brisbane,NNE,0.0526823
Brisbane,NNW,0.014937359
Brisbane,NW,0.017667845
Brisbane,S,0.039029875
Brisbane,SE,0.069868294
Brisbane,SSE,0.041920977
Brisbane,SSW,0.063283007
Brisbane,SW,0.120462576
Brisbane,W,0.070831995
Brisbane,WNW,0.028750402
Brisbane,WSW,0.075971731
Cairns,E,0.049747049
Cairns,ENE,0.044519393
Cairns,ESE,0.106070826
Cairns,N,0.035919056
Cairns,NE,0.058853288
Cairns,NNE,0.04232715
Cairns,NNW,0.008263069
Cairns,NW,0.008094435
Cairns,S,0.132883642
Cairns,SE,0.210286678
Cairns,SSE,0.268634064
Cairns,SSW,0.005059022
Cairns,SW,0.004047218
Cairns,W,0.010961214
Cairns,WNW,0.009106239
Cairns,WSW,0.005227656
Canberra,E,0.043972332
Canberra,ENE,0.034749671
Canberra,ESE,0.053689065
Canberra,N,0.075757576
Canberra,NE,0.031455863
Canberra,NNE,0.030797101
Canberra,NNW,0.138175231
Canberra,NW,0.153491436
Canberra,S,0.06027668
Canberra,SE,0.066040843
Canberra,SSE,0.063570487
Canberra,SSW,0.031126482
Canberra,SW,0.025197628
Canberra,W,0.046772069
Canberra,WNW,0.120388669
Canberra,WSW,0.024538867
Cobar,E,0.075783092
Cobar,ENE,0.070562479
Cobar,ESE,0.059952846
Cobar,N,0.056247895
Cobar,NE,0.073930616
Cobar,NNE,0.069720445
Cobar,NNW,0.038396767
Cobar,NW,0.040754463
Cobar,S,0.085719097
Cobar,SE,0.049174806
Cobar,SSE,0.060626474
Cobar,SSW,0.08235096
Cobar,SW,0.086392725
Cobar,W,0.048669586
Cobar,WNW,0.03822836
Cobar,WSW,0.06348939
CoffsHarbour,E,0.045624533
CoffsHarbour,ENE,0.031600598
CoffsHarbour,ESE,0.040201945
CoffsHarbour,N,0.058339566
CoffsHarbour,NE,0.104712042
CoffsHarbour,NNE,0.077225131
CoffsHarbour,NNW,0.051795064
CoffsHarbour,NW,0.04973822
CoffsHarbour,S,0.081525804
CoffsHarbour,SE,0.049177263
CoffsHarbour,SSE,0.060770381
CoffsHarbour,SSW,0.062640239
CoffsHarbour,SW,0.153328347
CoffsHarbour,W,0.024121167
CoffsHarbour,WNW,0.023560209
CoffsHarbour,WSW,0.085639491
Dartmoor,E,0.042274598
Dartmoor,ENE,0.031051253
Dartmoor,ESE,0.048634493
Dartmoor,N,0.107931163
Dartmoor,NE,0.02768425
Dartmoor,NNE,0.060044893
Dartmoor,NNW,0.098765432
Dartmoor,NW,0.071455294
Dartmoor,S,0.06285073
Dartmoor,SE,0.048634493
Dartmoor,SSE,0.041339319
Dartmoor,SSW,0.089599701
Dartmoor,SW,0.082865694
Dartmoor,W,0.062289562
Dartmoor,WNW,0.066591844
Dartmoor,WSW,0.05798728
Darwin,E,0.115535967
Darwin,ENE,0.070990083
Darwin,ESE,0.080591846
Darwin,N,0.067212341
Darwin,NE,0.049582874
Darwin,NNE,0.041555171
Darwin,NNW,0.096962065
Darwin,NW,0.076814104
Darwin,S,0.029592319
Darwin,SE,0.094758382
Darwin,SSE,0.036360774
Darwin,SSW,0.018101684
Darwin,SW,0.019990556
Darwin,W,0.061703132
Darwin,WNW,0.111286007
Darwin,WSW,0.028962695
GoldCoast,E,0.048398091
GoldCoast,ENE,0.04072938
GoldCoast,ESE,0.057259714
GoldCoast,N,0.050443081
GoldCoast,NE,0.051806408
GoldCoast,NNE,0.088104976
GoldCoast,NNW,0.0366394
GoldCoast,NW,0.084355828
GoldCoast,S,0.118779823
GoldCoast,SE,0.126789366
GoldCoast,SSE,0.179618269
GoldCoast,SSW,0.026584867
GoldCoast,SW,0.00937287
GoldCoast,W,0.030163599
GoldCoast,WNW,0.039877301
GoldCoast,WSW,0.011077028
Hobart,E,0.021849272
Hobart,ENE,0.015832806
Hobart,ESE,0.060481317
Hobart,N,0.090246992
Hobart,NE,0.023432552
Hobart,NNE,0.027549082
Hobart,NNW,0.25490817
Hobart,NW,0.145978467
Hobart,S,0.041165294
Hobart,SE,0.100063331
Hobart,SSE,0.028815706
Hobart,SSW,0.051773274
Hobart,SW,0.049240025
Hobart,W,0.021849272
Hobart,WNW,0.036098797
Hobart,WSW,0.030715643
Katherine,E,0.129411765
Katherine,ENE,0.061437908
Katherine,ESE,0.186601307
Katherine,N,0.040522876
Katherine,NE,0.033006536
Katherine,NNE,0.024183007
Katherine,NNW,0.049673203
Katherine,NW,0.078104575
Katherine,S,0.025490196
Katherine,SE,0.154575163
Katherine,SSE,0.037908497
Katherine,SSW,0.017973856
Katherine,SW,0.017320261
Katherine,W,0.042810458
Katherine,WNW,0.078104575
Katherine,WSW,0.022875817
Launceston,E,0.0531819
Launceston,ENE,0.024878313
Launceston,ESE,0.0394808
Launceston,N,0.071570218
Launceston,NE,0.013340544
Launceston,NNE,0.018568596
Launceston,NNW,0.287182261
Launceston,NW,0.200648999
Launceston,S,0.023796647
Launceston,SE,0.060933838
Launceston,SSE,0.078420768
Launceston,SSW,0.015684154
Launceston,SW,0.010456102
Launceston,W,0.025238868
Launceston,WNW,0.062556337
Launceston,WSW,0.014061655
Melbourne,E,0.008089608
Melbourne,ENE,0.007674756
Melbourne,ESE,0.007882182
Melbourne,N,0.258037752
Melbourne,NE,0.017423771
Melbourne,NNE,0.050611906
Melbourne,NNW,0.055590127
Melbourne,NW,0.037544078
Melbourne,S,0.119477287
Melbourne,SE,0.031736154
Melbourne,SSE,0.074465878
Melbourne,SSW,0.083592616
Melbourne,SW,0.069280232
Melbourne,W,0.064716864
